class,stage,count,unreadable,wrong_shape,sample_unreadable,sample_wrong_shape
attentive,raw,414,0,0,[],[]
phone,raw,414,0,0,[],[]
laptop,raw,513,0,0,[],[]
sleeping,raw,353,0,0,[],[]
distracted,raw,451,0,0,[],[]
attentive,augmented,1242,0,0,[],[]
phone,augmented,1242,0,0,[],[]
laptop,augmented,1539,0,0,[],[]
sleeping,augmented,1059,0,0,[],[]
distracted,augmented,1353,0,0,[],[]
attentive,split_train,828,0,0,[],[]
phone,split_train,828,0,0,[],[]
laptop,split_train,1026,0,0,[],[]
sleeping,split_train,706,0,0,[],[]
distracted,split_train,902,0,0,[],[]
attentive,split_val,207,0,0,[],[]
phone,split_val,207,0,0,[],[]
laptop,split_val,256,0,0,[],[]
sleeping,split_val,176,0,0,[],[]
distracted,split_val,225,0,0,[],[]
attentive,split_test,207,0,0,[],[]
phone,split_test,207,0,0,[],[]
laptop,split_test,257,0,0,[],[]
sleeping,split_test,177,0,0,[],[]
distracted,split_test,226,0,0,[],[]
